Year,CPIH ALL ITEMS,United Kingdom population mid-year estimate,Total managed expenditure with respect to GDP,Household final consumption expenditure :National concept CVM SA - £m,Bank Rate,RPI: Percentage change over 12 months - Petrol and Oil incl Fuel Oil,RPI:Percentage change over 12 months - Gas,Total EU27_x,Total Non EU_x,Total Export,Total EU27_y,Total Non EU_y,Total Import,Average GFCF,Average Business Investment,"Unemployment rate (aged 16 and over, seasonally adjusted): %",GDP £m
2000,73.40608333333334,58886100,35.1,971050,6.0,14,-2.5,110685,76139,186824,118975,107664,226639,67.75,74.25,5.4,1796500
2001,74.55591666666668,59113000,36.3,1002536,4.0,-5,2.7,114783,75899,190682,131885,107429,239314,69.0,74.0,5.1,1842720
2002,75.67116666666666,59365700,37.6,1028983,4.0,-3.2,6.3,115045,72414,187459,141776,100230,242006,70.5,72.25,5.2,1875809
2003,76.71583333333334,59636700,38.9,1063424,3.75,4,1.8,111256,76627,187883,143112,102066,245178,71.75,71.5,5,1934941
2004,77.7795,59950400,40.0,1092834,4.75,6,7.3,111972,79090,191062,147523,110890,258413,74.0,69.0,4.8,1982500
2005,79.40425,60413300,39.9,1123830,4.5,9.8,14.8,121761,90733,212494,162031,124508,286539,77.0,74.5,4.8,2036675
2006,81.35633333333334,60827100,39.9,1133245,5.0,6,31.9,154209,92209,246418,188480,140199,328679,79.25,78.25,5.4,2085162
2007,83.30499999999999,61319100,40.2,1171806,5.5,2.5,7.7,128765,94060,222825,173818,142573,316391,82.5,85.0,5.3,2139895
2008,86.22258333333333,61823800,43.5,1162090,2.0,16.7,19.8,142261,110332,252593,185623,163008,348631,80.0,82.0,5.7,2134571
2009,87.93341666666667,62260500,46.3,1124339,0.5,-8.8,13.7,125893,102058,227951,167776,149431,317207,70.25,68.25,7.6,2035942
2010,90.12358333333331,62759500,45.7,1148808,0.5,17.1,-5.9,143195,122701,265896,188295,177005,365300,73.25,71.0,7.9,2081411
2011,93.58541666666667,63285100,44.6,1144605,0.5,15.3,10.6,161363,141206,302569,205580,201004,406584,73.5,75.5,8.1,2105105
2012,95.99241666666668,63710800,44.0,1164814,0.5,2,10.6,151465,146966,298431,209709,201325,411034,74.75,81.0,8,2136871
2013,98.20008333333334,64138700,42.5,1197761,0.5,-0.9,7.9,151491,148239,299730,219631,205062,424693,77.25,83.75,7.6,2175333
2014,99.62583333333332,64619500,42.0,1233950,0.5,-5.2,4.7,147448,141725,289173,222717,197578,420295,82.75,88.25,6.2,2244827
2015,100.00008333333334,65088100,41.1,1269559,0.5,-14.1,-4.6,133380,147524,280904,220020,186202,406222,88.5,96.5,5.4,2294727
2016,100.98616666666668,65607100,40.2,1318358,0.25,-2.9,-6,143736,155662,299398,238088,200641,438729,93.0,103.0,4.9,2338825
2017,103.59033333333332,65966000,40.0,1341219,0.5,9.3,-1.3,165227,174698,339925,258343,221404,479747,96.25,102.75,4.4,2400956
2018,105.95566666666669,66288900,39.4,1363436,0.75,7.9,3.7,174786,179218,354004,267893,227401,495294,96.0,101.0,4.2,2434694
2019,107.80341666666668,66630700,39.5,1378649,0.25,0.4,-0.6,172176,196027,368203,270116,243084,513200,97.75,103.25,3.9,2474245
2020,108.88358333333332,66744100,53.1,1199896,0.1,-9.9,-10.2,148157,165593,313750,233092,208663,441755,88.25,92.75,4.7,2219474
2021,111.61441666666668,66983500,44.5,1289290,0.25,14.5,0.1,158352,173783,332135,237423,256917,494340,95.25,94.5,4.6,2409815
2022,120.45766666666668,67602800,45.7,1350539,3.5,30.1,92.6,207052,227071,434123,306646,334013,640659,99.75,100.0,3.9,2526428
2023,128.64016666666666,68265200,45.0,1353287,5.25,-10.6,18.5,186363,207153,393516,318362,262831,581193,100.0,102.75,4,2535017
