Title,RPI: Percentage change over 12 months - Petrol and Oil incl Fuel Oil
CDID,DOGQ
Source dataset ID,MM23
PreUnit,
Unit,%
Release date,16-10-24
Next release,20-Nov-24
Important notes,
1988,-1.7
1989,7.2
1990,12.7
1991,6.7
1992,2
1993,7.9
1994,4.3
1995,4.8
1996,5.2
1997,9.3
1998,4.2
1999,8.5
2000,14
2001,-5
2002,-3.2
2003,4
2004,6
2005,9.8
2006,6
2007,2.5
2008,16.7
2009,-8.8
2010,17.1
2011,15.3
2012,2
2013,-0.9
2014,-5.2
2015,-14.1
2016,-2.9
2017,9.3
2018,7.9
2019,0.4
2020,-9.9
2021,14.5
2022,30.1
2023,-10.6
