Title,RPI:Percentage change over 12 months - Gas
CDID,CZDA
Source dataset ID,MM23
PreUnit,
Unit,%
Release date,16-10-24
Next release,20-Nov-24
Important notes,
1988,0.7
1989,4.2
1990,6.9
1991,7
1992,-0.3
1993,-3.8
1994,6
1995,3.4
1996,0.1
1997,-1
1998,-3.4
1999,-0.6
2000,-2.5
2001,2.7
2002,6.3
2003,1.8
2004,7.3
2005,14.8
2006,31.9
2007,7.7
2008,19.8
2009,13.7
2010,-5.9
2011,10.6
2012,10.6
2013,7.9
2014,4.7
2015,-4.6
2016,-6
2017,-1.3
2018,3.7
2019,-0.6
2020,-10.2
2021,0.1
2022,92.6
2023,18.5
