Title,Household final consumption expenditure :National concept CVM SA - £m
CDID,ABJR
Source dataset ID,PN2
PreUnit,£
Unit,m
Release date,15-08-24
Next release,30-Sep-24
Important notes,
1948,229078
1949,233102
1950,239639
1951,236745
1952,237124
1953,247751
1954,258250
1955,269105
1956,271032
1957,277222
1958,285421
1959,298134
1960,309894
1961,317121
1962,324486
1963,338702
1964,350351
1965,354942
1966,361777
1967,371353
1968,382665
1969,385485
1970,396666
1971,410181
1972,437523
1973,461905
1974,456007
1975,455397
1976,457926
1977,456906
1978,481558
1979,504380
1980,504992
1981,506426
1982,512285
1983,534478
1984,547479
1985,575061
1986,609143
1987,641086
1988,686594
1989,712618
1990,722670
1991,716404
1992,723261
1993,743665
1994,767829
1995,783954
1996,813173
1997,853341
1998,889254
1999,927454
2000,971050
2001,1002536
2002,1028983
2003,1063424
2004,1092834
2005,1123830
2006,1133245
2007,1171806
2008,1162090
2009,1124339
2010,1148808
2011,1144605
2012,1164814
2013,1197761
2014,1233950
2015,1269559
2016,1318358
2017,1341219
2018,1363436
2019,1378649
2020,1199896
2021,1289290
2022,1350539
2023,1353287
