DATE,LRAC64TTGBQ156S
01-01-01,76.56496
01-04-01,76.56354
01-07-01,76.4648
01-10-01,76.59309
01-01-02,76.44392
01-04-02,76.67302
01-07-02,76.67627
01-10-02,76.85163
01-01-03,76.68397
01-04-03,76.70559
01-07-03,76.6945
01-10-03,76.54719
01-01-04,76.75069
01-04-04,76.60246
01-07-04,76.49187
01-10-04,76.69756
01-01-05,76.71172
01-04-05,76.5786
01-07-05,76.70789
01-10-05,76.65878
01-01-06,76.97888
01-04-06,77.11524
01-07-06,77.09534
01-10-06,77.00743
01-01-07,76.78934
01-04-07,76.80447
01-07-07,76.82203
01-10-07,76.94073
01-01-08,77.02567
01-04-08,77.08438
01-07-08,77.00409
01-10-08,77.14922
01-01-09,77.21339
01-04-09,76.90213
01-07-09,76.7291
01-10-09,76.60374
01-01-10,76.41106
01-04-10,76.54784
01-07-10,76.78217
01-10-10,76.53246
01-01-11,76.64064
01-04-11,76.67316
01-07-11,76.59853
01-10-11,76.77757
01-01-12,76.88456
01-04-12,77.20298
01-07-12,77.32317
01-10-12,77.5721
01-01-13,77.36253
01-04-13,77.42516
01-07-13,77.66816
01-10-13,77.66634
01-01-14,77.77259
01-04-14,77.76633
01-07-14,77.73257
01-10-14,77.66247
01-01-15,77.76664
01-04-15,77.75526
01-07-15,77.92271
01-10-15,78.07129
01-01-16,78.0706
01-04-16,78.24282
01-07-16,78.2014
01-10-16,78.23232
01-01-17,78.29467
01-04-17,78.50454
01-07-17,78.2512
01-10-17,78.48495
01-01-18,78.73907
01-04-18,78.58987
01-07-18,78.61845
01-10-18,78.84023
01-01-19,78.89365
01-04-19,79.00282
01-07-19,78.87514
01-10-19,79.21021
01-01-20,79.27357
01-04-20,78.73199
01-07-20,78.53355
01-10-20,78.45781
01-01-21,78.29299
01-04-21,78.44698
01-07-21,78.3922
01-10-21,78.33429
01-01-22,78.22063
01-04-22,78.16904
01-07-22,77.95584
01-10-22,78.27902
01-01-23,78.48545
01-04-23,78.5552
01-07-23,78.11643
01-10-23,78.08433
01-01-24,77.85984
01-04-24,77.81863
